cohort,seed,arm,stage,metric,value,unit
cohort 1,12405,lowrank_ssr,1,old_boundary_iou,34.768123918127266,percent
cohort 1,12405,lowrank_ssr,1,old_boundary_margin,3.2774689197540283,logit
cohort 1,12405,lowrank_ssr,1,old_miou,74.65291145822084,percent
cohort 1,12405,lowrank_ssr,10,all_miou,15.510869889546031,percent
cohort 1,12405,lowrank_ssr,10,new_miou,1.1523279858077988,percent
cohort 1,12405,lowrank_ssr,10,old_boundary_iou,6.81558007388827,percent
cohort 1,12405,lowrank_ssr,10,old_boundary_margin,5.473282814025879,logit
cohort 1,12405,lowrank_ssr,10,old_miou,17.082944194455727,percent
cohort 1,12405,lowrank_ssr,2,all_miou,65.98393504530064,percent
cohort 1,12405,lowrank_ssr,2,new_miou,61.05976606986802,percent
cohort 1,12405,lowrank_ssr,2,old_boundary_iou,34.30048038478171,percent
cohort 1,12405,lowrank_ssr,2,old_boundary_margin,2.9316036701202393,logit
cohort 1,12405,lowrank_ssr,2,old_miou,65.66974456154985,percent
cohort 1,12405,lowrank_ssr,3,all_miou,53.21872952043615,percent
cohort 1,12405,lowrank_ssr,3,new_miou,18.82256037861218,percent
cohort 1,12405,lowrank_ssr,3,old_boundary_iou,29.09395254985774,percent
cohort 1,12405,lowrank_ssr,3,old_boundary_margin,3.3183839321136475,logit
cohort 1,12405,lowrank_ssr,3,old_miou,54.177520247850175,percent
cohort 1,12405,lowrank_ssr,4,all_miou,46.835566624409516,percent
cohort 1,12405,lowrank_ssr,4,new_miou,29.88509022288698,percent
cohort 1,12405,lowrank_ssr,4,old_boundary_iou,25.361380753494544,percent
cohort 1,12405,lowrank_ssr,4,old_boundary_margin,2.125716209411621,logit
cohort 1,12405,lowrank_ssr,4,old_miou,46.29735180497291,percent
cohort 1,12405,lowrank_ssr,5,all_miou,45.43862687179288,percent
cohort 1,12405,lowrank_ssr,5,new_miou,67.64699925043223,percent
cohort 1,12405,lowrank_ssr,5,old_boundary_iou,23.439399376949517,percent
cohort 1,12405,lowrank_ssr,5,old_boundary_margin,1.3097081184387207,logit
cohort 1,12405,lowrank_ssr,5,old_miou,42.23285048597468,percent
cohort 1,12405,lowrank_ssr,6,all_miou,38.71634124985782,percent
cohort 1,12405,lowrank_ssr,6,new_miou,14.932817624385297,percent
cohort 1,12405,lowrank_ssr,6,old_boundary_iou,22.62476081618419,percent
cohort 1,12405,lowrank_ssr,6,old_boundary_margin,8.7162446975708,logit
cohort 1,12405,lowrank_ssr,6,old_miou,39.02392908213295,percent
cohort 1,12405,lowrank_ssr,7,all_miou,32.17566870147811,percent
cohort 1,12405,lowrank_ssr,7,new_miou,11.415582365013766,percent
cohort 1,12405,lowrank_ssr,7,old_boundary_iou,17.902948200731824,percent
cohort 1,12405,lowrank_ssr,7,old_boundary_margin,5.406552314758301,logit
cohort 1,12405,lowrank_ssr,7,old_miou,32.389932885766385,percent
cohort 1,12405,lowrank_ssr,8,all_miou,28.125537233755082,percent
cohort 1,12405,lowrank_ssr,8,new_miou,5.721200807600721,percent
cohort 1,12405,lowrank_ssr,8,old_boundary_iou,9.522832036424738,percent
cohort 1,12405,lowrank_ssr,8,old_boundary_margin,3.4767606258392334,logit
cohort 1,12405,lowrank_ssr,8,old_miou,29.07638572987293,percent
cohort 1,12405,lowrank_ssr,9,all_miou,18.34080468584471,percent
cohort 1,12405,lowrank_ssr,9,new_miou,11.590208467541538,percent
cohort 1,12405,lowrank_ssr,9,old_boundary_iou,7.231670541646773,percent
cohort 1,12405,lowrank_ssr,9,old_boundary_margin,2.741131067276001,logit
cohort 1,12405,lowrank_ssr,9,old_miou,18.0446554902675,percent
cohort 1,12406,lowrank,1,all_miou,73.51258496945148,percent
cohort 1,12406,lowrank,1,new_miou,32.402651249797756,percent
cohort 1,12406,lowrank,1,old_boundary_iou,35.844870091661946,percent
cohort 1,12406,lowrank,1,old_boundary_margin,3.1911227703094482,logit
cohort 1,12406,lowrank,1,old_miou,75.91022991264855,percent
cohort 1,12406,lowrank,10,all_miou,18.97749098819243,percent
cohort 1,12406,lowrank,10,new_miou,1.3709798318479303,percent
cohort 1,12406,lowrank,10,old_boundary_iou,8.017031094509756,percent
cohort 1,12406,lowrank,10,old_boundary_margin,4.923118591308594,logit
cohort 1,12406,lowrank,10,old_miou,20.902964785273316,percent
cohort 1,12406,lowrank,2,all_miou,67.26828599823894,percent
cohort 1,12406,lowrank,2,new_miou,65.57467312770041,percent
cohort 1,12406,lowrank,2,old_boundary_iou,34.7180263310588,percent
cohort 1,12406,lowrank,2,old_boundary_margin,3.4064743518829346,logit
cohort 1,12406,lowrank,2,old_miou,66.56643313226856,percent
cohort 1,12406,lowrank,3,all_miou,51.74960029227187,percent
cohort 1,12406,lowrank,3,new_miou,21.00472732390472,percent
cohort 1,12406,lowrank,3,old_boundary_iou,31.221290288495002,percent
cohort 1,12406,lowrank,3,old_boundary_margin,2.832118034362793,logit
cohort 1,12406,lowrank,3,old_miou,52.570409064404366,percent
cohort 1,12406,lowrank,4,all_miou,43.71368735318144,percent
cohort 1,12406,lowrank,4,new_miou,26.351592463841566,percent
cohort 1,12406,lowrank,4,old_boundary_iou,28.413179340798568,percent
cohort 1,12406,lowrank,4,old_boundary_margin,1.7027705907821655,logit
cohort 1,12406,lowrank,4,old_miou,43.57337117381453,percent
cohort 1,12406,lowrank,5,all_miou,43.57387128332087,percent
cohort 1,12406,lowrank,5,new_miou,69.13139440205184,percent
cohort 1,12406,lowrank,5,old_boundary_iou,23.98456701767482,percent
cohort 1,12406,lowrank,5,old_boundary_margin,1.6013060808181763,logit
cohort 1,12406,lowrank,5,old_miou,40.57384693021325,percent
cohort 1,12406,lowrank,6,all_miou,37.364619622603406,percent
cohort 1,12406,lowrank,6,new_miou,10.137106726590131,percent
cohort 1,12406,lowrank,6,old_boundary_iou,24.002244022790872,percent
cohort 1,12406,lowrank,6,old_boundary_margin,7.964346885681152,logit
cohort 1,12406,lowrank,6,old_miou,38.24337229046159,percent
cohort 1,12406,lowrank,7,all_miou,33.38504453477296,percent
cohort 1,12406,lowrank,7,new_miou,8.811035701563377,percent
cohort 1,12406,lowrank,7,old_boundary_iou,18.98852585800689,percent
cohort 1,12406,lowrank,7,old_boundary_margin,4.850505828857422,logit
cohort 1,12406,lowrank,7,old_miou,34.75196447046307,percent
cohort 1,12406,lowrank,8,all_miou,28.959815645478564,percent
cohort 1,12406,lowrank,8,new_miou,4.713185929668734,percent
cohort 1,12406,lowrank,8,old_boundary_iou,15.634486441324071,percent
cohort 1,12406,lowrank,8,old_boundary_margin,3.808864116668701,logit
cohort 1,12406,lowrank,8,old_miou,30.99933742400875,percent
cohort 1,12406,lowrank,9,all_miou,20.594793791271766,percent
cohort 1,12406,lowrank,9,new_miou,11.586255998093131,percent
cohort 1,12406,lowrank,9,old_boundary_iou,8.652052008201265,percent
cohort 1,12406,lowrank,9,old_boundary_margin,1.826167106628418,logit
cohort 1,12406,lowrank,9,old_miou,21.562943845792866,percent
cohort 1,12406,lowrank_ssr,1,all_miou,73.50702384870064,percent
cohort 1,12406,lowrank_ssr,1,new_miou,32.367837583268596,percent
cohort 1,12406,lowrank_ssr,1,old_boundary_iou,35.76913734775356,percent
cohort 1,12406,lowrank_ssr,1,old_boundary_margin,3.1933701038360596,logit
cohort 1,12406,lowrank_ssr,1,old_miou,75.90757039200304,percent
cohort 1,12406,lowrank_ssr,10,all_miou,19.30488324822234,percent
cohort 1,12406,lowrank_ssr,10,new_miou,1.2734103321955217,percent
cohort 1,12406,lowrank_ssr,10,old_boundary_iou,7.989203034283546,percent
cohort 1,12406,lowrank_ssr,10,old_boundary_margin,4.863919734954834,logit
cohort 1,12406,lowrank_ssr,10,old_miou,21.269954625288083,percent
cohort 1,12406,lowrank_ssr,2,all_miou,66.15589060352505,percent
cohort 1,12406,lowrank_ssr,2,new_miou,61.53486026919476,percent
cohort 1,12406,lowrank_ssr,2,old_boundary_iou,33.63748364311782,percent
cohort 1,12406,lowrank_ssr,2,old_boundary_margin,3.163865804672241,logit
cohort 1,12406,lowrank_ssr,2,old_miou,65.96998239889881,percent
cohort 1,12406,lowrank_ssr,3,all_miou,52.388890909431254,percent
cohort 1,12406,lowrank_ssr,3,new_miou,23.58515369945967,percent
cohort 1,12406,lowrank_ssr,3,old_boundary_iou,27.115441397966322,percent
cohort 1,12406,lowrank_ssr,3,old_boundary_margin,3.565216541290283,logit
cohort 1,12406,lowrank_ssr,3,old_miou,52.87674345876317,percent
cohort 1,12406,lowrank_ssr,4,all_miou,46.296067269690624,percent
cohort 1,12406,lowrank_ssr,4,new_miou,29.939311954262905,percent
cohort 1,12406,lowrank_ssr,4,old_boundary_iou,28.21826385377549,percent
cohort 1,12406,lowrank_ssr,4,old_boundary_margin,1.985939860343933,logit
cohort 1,12406,lowrank_ssr,4,old_miou,45.79478011172204,percent
cohort 1,12406,lowrank_ssr,5,all_miou,45.669911402611845,percent
cohort 1,12406,lowrank_ssr,5,new_miou,69.47349604595924,percent
cohort 1,12406,lowrank_ssr,5,old_boundary_iou,24.962319650739932,percent
cohort 1,12406,lowrank_ssr,5,old_boundary_margin,1.736311912536621,logit
cohort 1,12406,lowrank_ssr,5,old_miou,42.49297517321282,percent
cohort 1,12406,lowrank_ssr,6,all_miou,39.04231138700966,percent
cohort 1,12406,lowrank_ssr,6,new_miou,14.30906557597837,percent
cohort 1,12406,lowrank_ssr,6,old_boundary_iou,23.920486519705037,percent
cohort 1,12406,lowrank_ssr,6,old_boundary_margin,8.279622077941895,logit
cohort 1,12406,lowrank_ssr,6,old_miou,39.35466161621016,percent
cohort 1,12406,lowrank_ssr,7,all_miou,35.362072605790054,percent
cohort 1,12406,lowrank_ssr,7,new_miou,11.256020761962098,percent
cohort 1,12406,lowrank_ssr,7,old_boundary_iou,19.982405619630807,percent
cohort 1,12406,lowrank_ssr,7,old_boundary_margin,5.152541160583496,logit
cohort 1,12406,lowrank_ssr,7,old_miou,36.347306320311596,percent
cohort 1,12406,lowrank_ssr,8,all_miou,30.69854326893962,percent
cohort 1,12406,lowrank_ssr,8,new_miou,5.576416264088702,percent
cohort 1,12406,lowrank_ssr,8,old_boundary_iou,15.89016751223882,percent
cohort 1,12406,lowrank_ssr,8,old_boundary_margin,3.675915002822876,logit
cohort 1,12406,lowrank_ssr,8,old_miou,32.303061279199994,percent
cohort 1,12406,lowrank_ssr,9,all_miou,21.942367343846108,percent
cohort 1,12406,lowrank_ssr,9,new_miou,11.242943429279585,percent
cohort 1,12406,lowrank_ssr,9,old_boundary_iou,9.332303311223507,percent
cohort 1,12406,lowrank_ssr,9,old_boundary_margin,1.8505945205688477,logit
cohort 1,12406,lowrank_ssr,9,old_miou,22.38762048882166,percent
cohort 1,12409,lowrank,1,all_miou,72.8329457675526,percent
cohort 1,12409,lowrank,1,new_miou,34.730895629483285,percent
cohort 1,12409,lowrank,1,old_boundary_iou,35.947547262787396,percent
cohort 1,12409,lowrank,1,old_boundary_margin,3.003385066986084,logit
cohort 1,12409,lowrank,1,old_miou,74.8490291115396,percent
cohort 1,12409,lowrank,10,all_miou,16.9027862982352,percent
cohort 1,12409,lowrank,10,new_miou,1.2172580823269974,percent
cohort 1,12409,lowrank,10,old_boundary_iou,6.966099573251526,percent
cohort 1,12409,lowrank,10,old_boundary_margin,5.360335826873779,logit
cohort 1,12409,lowrank,10,old_miou,18.617960746348007,percent
cohort 1,12409,lowrank,2,all_miou,67.30021208380121,percent
cohort 1,12409,lowrank,2,new_miou,65.74677083403807,percent
cohort 1,12409,lowrank,2,old_boundary_iou,31.98486718809844,percent
cohort 1,12409,lowrank,2,old_boundary_margin,3.350552558898926,logit
cohort 1,12409,lowrank,2,old_miou,66.32994879179348,percent
cohort 1,12409,lowrank,3,all_miou,53.58709980398246,percent
cohort 1,12409,lowrank,3,new_miou,23.715668549946127,percent
cohort 1,12409,lowrank,3,old_boundary_iou,30.435691906104378,percent
cohort 1,12409,lowrank,3,old_boundary_margin,2.805070161819458,logit
cohort 1,12409,lowrank,3,old_miou,54.593921300692394,percent
cohort 1,12409,lowrank,4,all_miou,45.40486095593211,percent
cohort 1,12409,lowrank,4,new_miou,28.341163752517268,percent
cohort 1,12409,lowrank,4,old_boundary_iou,24.309206596561193,percent
cohort 1,12409,lowrank,4,old_boundary_margin,2.3232996463775635,logit
cohort 1,12409,lowrank,4,old_miou,45.36168662295451,percent
cohort 1,12409,lowrank,5,all_miou,43.93621666340216,percent
cohort 1,12409,lowrank,5,new_miou,66.83237973353849,percent
cohort 1,12409,lowrank,5,old_boundary_iou,21.867218016214636,percent
cohort 1,12409,lowrank,5,old_boundary_margin,1.5348230600357056,logit
cohort 1,12409,lowrank,5,old_miou,41.31309348535108,percent
