task_family,dataset,model,run_id,recipe,distance_mapping,seed,data_offset,n_edits,metric,value,result_path
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9325/results.json,plain,none,9325,500,100,final_history_locality,5.818171126259362,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9325/results.json,plain,none,9325,500,100,locality,9.122553100494276,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9327/results.json,plain,none,9327,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9327/results.json,plain,none,9327,500,100,final_history_efficacy,12.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9327/results.json,plain,none,9327,500,100,final_history_locality,8.53416983343454,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9327/results.json,plain,none,9327,500,100,locality,8.525200453141629,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9329/results.json,plain,none,9329,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9329/results.json,plain,none,9329,500,100,final_history_efficacy,15.0,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9329/results.json,plain,none,9329,500,100,final_history_locality,6.759938509203215,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_true_ft_control_seed9329/results.json,plain,none,9329,500,100,locality,10.107751807016514,results/meeting_20260803/imported_decisive_editing/cf/plain/none/seed_9329/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9311/results.json,ssr_only,projective,9311,500,100,efficacy,99.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9311/results.json,ssr_only,projective,9311,500,100,final_history_efficacy,11.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9311/results.json,ssr_only,projective,9311,500,100,final_history_locality,9.137478044830983,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9311/results.json,ssr_only,projective,9311,500,100,locality,8.282271731536438,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9313/results.json,ssr_only,projective,9313,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9313/results.json,ssr_only,projective,9313,500,100,final_history_efficacy,8.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9313/results.json,ssr_only,projective,9313,500,100,final_history_locality,9.79104212780683,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9313/results.json,ssr_only,projective,9313,500,100,locality,8.636935939877118,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_ssr_only_gaussian_reference_projective_l0p003_seed9315/results.json,ssr_only,projective,9315,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/ssr_only/projective/seed_9315/result_record.json
