rank,method,candidate_id,seed,avg_accuracy,avg_forgetting,final_new_accuracy,aa_gain_vs_kd_pp,af_reduction_vs_kd_pp,final_new_gain_vs_kd_pp,result_file
4,kd_ssr,scale_m0p5,19247,94.69999999999999,0.315789473684209,97.6,2.309999999999988,1.9368421052631606,1.1999999999999886,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p5/seed_19247/result.json
4,kd_ssr,scale_m0p5,19249,94.85,0.32631578947368584,95.6,1.1899999999999977,0.8842105263157884,-0.6000000000000085,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p5/seed_19249/result.json
4,kd_ssr,scale_m16p0,19231,92.36999999999999,0.07368421052631534,90.2,-1.3200000000000216,1.568421052631578,-5.200000000000003,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19231/result.json
4,kd_ssr,scale_m16p0,19233,92.07,0.08421052631578992,89.6,-0.5900000000000034,1.6736842105263157,-4.400000000000006,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19233/result.json
4,kd_ssr,scale_m16p0,19235,91.96000000000001,0.12631578947368377,91.0,-0.8199999999999932,1.536842105263158,-5.200000000000003,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19235/result.json
4,kd_ssr,scale_m16p0,19237,92.10000000000001,0.2736842105263167,92.4,-1.519999999999996,1.0631578947368416,-4.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19237/result.json
4,kd_ssr,scale_m16p0,19239,92.28,0.09473684210526376,92.0,-0.06999999999999318,1.7157894736842119,-1.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19239/result.json
4,kd_ssr,scale_m16p0,19241,92.45,0.031578947368421505,93.4,-1.0799999999999983,1.4526315789473658,-3.3999999999999915,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19241/result.json
4,kd_ssr,scale_m16p0,19243,90.9,0.1368421052631576,89.0,-1.9799999999999898,1.4947368421052656,-4.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19243/result.json
4,kd_ssr,scale_m16p0,19245,92.17999999999998,0.13684210526315685,92.2,-0.9300000000000068,1.4947368421052658,-4.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19245/result.json
4,kd_ssr,scale_m16p0,19247,92.66,0.1789473684210522,94.6,0.269999999999996,2.0736842105263174,-1.8000000000000114,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19247/result.json
4,kd_ssr,scale_m16p0,19249,91.88,0.13684210526315685,91.0,-1.7800000000000011,1.0736842105263176,-5.200000000000003,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m16p0/seed_19249/result.json
4,kd_ssr,scale_m1p0,19231,95.03,0.21052631578947442,95.4,1.3399999999999892,1.431578947368419,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m1p0/seed_19231/result.json
4,kd_ssr,scale_m1p0,19233,94.34,0.24210526315789369,93.4,1.6800000000000068,1.515789473684212,-0.5999999999999943,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m1p0/seed_19233/result.json
4,kd_ssr,scale_m1p0,19235,94.34,0.2842105263157905,94.2,1.5600000000000023,1.3789473684210511,-2.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m1p0/seed_19235/result.json
4,kd_ssr,scale_m1p0,19237,94.82000000000001,0.3052631578947367,94.8,1.2000000000000028,1.0315789473684216,-1.6000000000000085,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m1p0/seed_19237/result.json
4,kd_ssr,scale_m1p0,19239,93.83,0.284210526315789,93.4,1.480000000000004,1.5263157894736865,0.4000000000000057,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m1p0/seed_19239/result.json
4,kd_ssr,scale_m1p0,19241,95.01,0.16842105263157836,96.6,1.480000000000004,1.315789473684209,-0.20000000000000284,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m1p0/seed_19241/result.json
4,kd_ssr,scale_m1p0,19243,94.03999999999999,0.34736842105263205,94.0,1.1599999999999966,1.2842105263157912,1.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m1p0/seed_19243/result.json
