dataset,rank,seed,edits,metric,unit,baseline,ssr,delta
WikiRecent,32,17640,10,history_efficacy,percent,0.0,10.0,10.0
WikiRecent,32,17631,10,pre_edit_output_consistency,percent,38.84655814617872,38.88646233826876,0.039904192090034485
WikiRecent,32,17633,10,pre_edit_output_consistency,percent,36.2126175314188,36.323416233062744,0.11079870164394379
WikiRecent,32,17637,10,pre_edit_output_consistency,percent,37.399424985051155,37.39852383732796,-0.000901147723197937
WikiRecent,32,17638,10,pre_edit_output_consistency,percent,39.44222629070282,39.53240588307381,0.09017959237098694
WikiRecent,32,17640,10,pre_edit_output_consistency,percent,33.8255675509572,33.82553458213806,-3.296881914138794e-05
WikiRecent,32,17631,10,center_surround_contrast,dimensionless,-0.0007321271706522176,0.1490382787971092,0.14977040596776142
WikiRecent,32,17633,10,center_surround_contrast,dimensionless,-0.004426671491403665,0.13830035628883966,0.14272702778024332
WikiRecent,32,17637,10,center_surround_contrast,dimensionless,-0.0043334817705077255,0.14629767229780555,0.15063115406831326
WikiRecent,32,17638,10,center_surround_contrast,dimensionless,-0.006437447614579079,0.13733544340357184,0.1437728910181509
WikiRecent,32,17640,10,center_surround_contrast,dimensionless,0.002028613741068901,0.14201692824384995,0.13998831450278104
WikiRecent,32,17631,10,kernel_alignment,dimensionless,0.004884789324673225,0.30837976676411927,0.30349497743944603
WikiRecent,32,17633,10,kernel_alignment,dimensionless,-0.0022651251140684637,0.28264121821017135,0.2849063433242398
WikiRecent,32,17637,10,kernel_alignment,dimensionless,-0.003135900137619631,0.30309668130108286,0.30623258143870247
WikiRecent,32,17638,10,kernel_alignment,dimensionless,-0.009576157183671188,0.28023541948225883,0.28981157666593
WikiRecent,32,17640,10,kernel_alignment,dimensionless,0.004897049685423229,0.277996313924502,0.2730992642390788
WikiRecent,32,17631,10,effective_rank,dimensionless,21.661981714623316,21.964171069008962,0.3021893543856464
WikiRecent,32,17633,10,effective_rank,dimensionless,22.20400275502886,21.870273309094564,-0.33372944593429565
WikiRecent,32,17637,10,effective_rank,dimensionless,22.303361705371312,21.78090901034219,-0.5224526950291235
WikiRecent,32,17638,10,effective_rank,dimensionless,22.783381202391215,21.986948264496668,-0.7964329378945472
WikiRecent,32,17640,10,effective_rank,dimensionless,21.54072216153145,20.75641278071063,-0.7843093808208188
WikiRecent,32,17631,10,effective_rank_fraction,dimensionless,0.6769369285819786,0.6863803459065301,0.00944341732455145
WikiRecent,32,17633,10,effective_rank_fraction,dimensionless,0.6938750860946519,0.6834460409092051,-0.01042904518544674
WikiRecent,32,17637,10,effective_rank_fraction,dimensionless,0.6969800532928535,0.6806534065731934,-0.01632664671966011
WikiRecent,32,17638,10,effective_rank_fraction,dimensionless,0.7119806625747255,0.6870921332655209,-0.0248885293092046
WikiRecent,32,17640,10,effective_rank_fraction,dimensionless,0.6731475675478578,0.6486378993972072,-0.024509668150650588
WikiRecent,32,17631,10,near_row_cosine,dimensionless,0.0028340378635870623,0.1343199785665742,0.13148594070298714
WikiRecent,32,17633,10,near_row_cosine,dimensionless,5.399042726951715e-05,0.126244498516566,0.12619050808929647
WikiRecent,32,17637,10,near_row_cosine,dimensionless,-0.0005239855619265654,0.1333690063163106,0.13389299187823717
WikiRecent,32,17638,10,near_row_cosine,dimensionless,-0.0030806845757719464,0.12444974664997842,0.12753043122575036
WikiRecent,32,17640,10,near_row_cosine,dimensionless,0.0024709355247978237,0.12959537500449056,0.12712443947969274
WikiRecent,32,17631,10,surround_row_cosine,dimensionless,0.003566165019719847,-0.014718300884331776,-0.018284465904051625
WikiRecent,32,17633,10,surround_row_cosine,dimensionless,0.004480661925689284,-0.012055857836717872,-0.016536519762407158
WikiRecent,32,17637,10,surround_row_cosine,dimensionless,0.0038094960664238897,-0.012928666406699969,-0.01673816247312386
WikiRecent,32,17638,10,surround_row_cosine,dimensionless,0.003356762982548389,-0.012885696275524034,-0.016242459258072425
WikiRecent,32,17640,10,surround_row_cosine,dimensionless,0.00044232172422198335,-0.012421554847216092,-0.012863876571438075
WikiRecent,32,17631,25,immediate_efficacy,percent,56.00000000000001,56.00000000000001,0.0
WikiRecent,32,17633,25,immediate_efficacy,percent,60.0,64.0,4.0
WikiRecent,32,17637,25,immediate_efficacy,percent,76.0,84.0,8.0
WikiRecent,32,17638,25,immediate_efficacy,percent,64.0,64.0,0.0
WikiRecent,32,17640,25,immediate_efficacy,percent,56.00000000000001,88.0,31.999999999999993
WikiRecent,32,17631,25,immediate_locality_target_consistency,percent,9.520634920634919,10.720634920634922,1.2000000000000028
WikiRecent,32,17633,25,immediate_locality_target_consistency,percent,8.418803418803417,12.84920634920635,4.430402930402932
WikiRecent,32,17637,25,immediate_locality_target_consistency,percent,6.085470085470086,5.9743589743589745,-0.1111111111111116
WikiRecent,32,17638,25,immediate_locality_target_consistency,percent,8.612842712842712,10.146176046176045,1.5333333333333332
WikiRecent,32,17640,25,immediate_locality_target_consistency,percent,11.76666666666667,16.633333333333333,4.866666666666664
WikiRecent,32,17631,25,history_efficacy,percent,4.0,4.0,0.0
WikiRecent,32,17633,25,history_efficacy,percent,4.0,4.0,0.0
WikiRecent,32,17637,25,history_efficacy,percent,4.0,4.0,0.0
