cohort,rank,ssr_lambda,edit_count,metric,baseline_mean,baseline_ci95_low,baseline_ci95_high,ssr_mean,ssr_ci95_low,ssr_ci95_high,delta_mean,delta_ci95_low,delta_ci95_high
independent_100,64,0.03,1,immediate_portability,10.0,0.0,30.0,10.0,0.0,30.0,0.0,0.0,0.0
independent_100,64,0.03,1,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,64,0.03,2,history_efficacy,40.0,25.0,50.0,45.0,35.0,50.0,5.0,0.0,15.0
independent_100,64,0.03,2,pre_edit_output_consistency,21.822467017918825,18.732555948663503,25.093437798786905,20.483659859746695,18.112656543962657,22.999316528439522,-1.3388071581721306,-3.756734225898981,1.0802890886552632
independent_100,64,0.03,2,immediate_efficacy,85.0,70.0,100.0,85.0,70.0,100.0,0.0,-15.0,15.0
independent_100,64,0.03,2,immediate_rephrase,50.0,30.0,70.0,55.0,40.0,70.0,5.0,-10.0,20.0
independent_100,64,0.03,2,immediate_portability,20.0,5.0,35.0,15.0,0.0,30.0,-5.0,-15.0,0.0
independent_100,64,0.03,2,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,64,0.03,5,history_efficacy,8.0,2.0,14.0,12.0,6.0,18.0,4.0,0.0,10.0
independent_100,64,0.03,5,pre_edit_output_consistency,21.952521335333586,18.643853991292417,26.288574003614485,22.633230686187744,18.95625342754647,26.974889304954555,0.6807093508541584,-0.8087794855237007,2.5015831091441214
independent_100,64,0.03,5,immediate_efficacy,72.0,64.0,80.0,72.0,64.0,80.0,0.0,-12.0,12.0
independent_100,64,0.03,5,immediate_rephrase,48.0,34.0,62.0,50.0,40.0,60.0,2.0,-10.0,10.0
independent_100,64,0.03,5,immediate_portability,14.0,6.0,24.0,12.0,2.0,22.0,-2.0,-6.0,0.0
independent_100,64,0.03,5,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,64,0.03,10,history_efficacy,4.0,1.0,7.0,3.0,0.0,6.0,-1.0,-4.0,2.0
independent_100,64,0.03,10,pre_edit_output_consistency,19.93154652416706,17.957975235767663,21.897887725848705,19.50688686221838,17.669948390685022,21.403027911670506,-0.4246596619486809,-1.1385916764847934,0.023858929052948934
independent_100,64,0.03,10,immediate_efficacy,64.0,56.0,73.0,61.0,54.0,69.0,-3.0,-15.0,9.0
independent_100,64,0.03,10,immediate_rephrase,44.0,34.0,54.0,43.0,36.0,50.0,-1.0,-14.0,11.0
independent_100,64,0.03,10,immediate_portability,11.0,5.0,17.0,10.0,5.0,15.0,-1.0,-4.0,2.0
independent_100,64,0.03,10,immediate_locality_target_consistency,0.5,0.0,1.5,0.0,0.0,0.0,-0.5,-1.5,0.0
